video_id,start,end,type
P01_05,203,205,repetition_issue
P01_05,204,206,repetition_issue
P01_05,205,207,repetition_issue
P01_05,206,208,repetition_issue
P01_05,207,209,repetition_issue
P01_05,208,210,repetition_issue
P01_05,209,211,repetition_issue
P01_05,210,212,repetition_issue
P01_05,211,213,repetition_issue
P01_09,105,107,repetition_issue
P01_09,113,115,repetition_issue
P01_09,114,116,repetition_issue
P01_09,115,117,repetition_issue
P01_09,119,121,repetition_issue
P01_09,120,122,repetition_issue
P01_09,121,123,repetition_issue
P01_09,404,406,repetition_issue
P01_09,405,407,repetition_issue
P01_09,406,408,repetition_issue
P01_09,407,409,repetition_issue
P01_09,428,430,repetition_issue
P01_09,429,431,repetition_issue
P01_09,430,432,repetition_issue
P01_09,431,433,repetition_issue
P01_09,432,434,repetition_issue
P01_09,433,435,repetition_issue
P01_09,452,454,repetition_issue
P01_09,453,455,repetition_issue
P01_09,454,456,repetition_issue
P01_09,455,457,repetition_issue
P01_09,456,458,repetition_issue
P01_09,590,592,repetition_issue
P01_102,102,104,repetition_issue
P01_102,103,105,repetition_issue
P01_17,123,125,repetition_issue
P01_17,140,142,repetition_issue
P01_17,141,143,repetition_issue
P01_17,142,144,repetition_issue
P01_17,143,145,repetition_issue
P01_17,144,146,repetition_issue
P01_17,145,147,repetition_issue
P01_17,146,148,repetition_issue
P01_17,147,149,repetition_issue
P01_17,148,150,repetition_issue
P01_18,100,102,repetition_issue
P01_18,101,103,repetition_issue
P01_18,102,104,repetition_issue
P01_18,103,105,repetition_issue
P01_18,104,106,repetition_issue
P01_18,105,107,repetition_issue
P01_18,169,171,repetition_issue
P01_18,170,172,repetition_issue
P02_03,130,132,repetition_issue
P02_09,223,225,repetition_issue
P02_09,226,228,repetition_issue
P02_09,227,229,repetition_issue
P02_09,228,230,repetition_issue
P02_09,229,231,repetition_issue
P02_09,230,232,repetition_issue
P02_113,11,13,repetition_issue
P02_113,12,14,repetition_issue
P02_113,13,15,repetition_issue
P02_113,19,21,repetition_issue
P02_113,20,22,repetition_issue
P02_113,26,28,repetition_issue
P02_113,27,29,repetition_issue
P02_113,28,30,repetition_issue
P02_113,34,36,repetition_issue
P02_113,40,42,repetition_issue
P02_129,75,77,repetition_issue
P02_129,76,78,repetition_issue
P02_129,77,79,repetition_issue
P02_129,78,80,repetition_issue
P02_129,79,81,repetition_issue
P04_02,9,11,repetition_issue
P04_02,10,12,repetition_issue
P04_02,11,13,repetition_issue
P04_02,12,14,repetition_issue
P04_02,13,15,repetition_issue
P04_02,150,152,repetition_issue
P04_02,151,153,repetition_issue
P04_02,152,154,repetition_issue
P04_02,153,155,repetition_issue
P04_02,154,156,repetition_issue
P04_03,8,10,repetition_issue
P04_03,9,11,repetition_issue
P04_101,29,31,repetition_issue
P04_103,19,21,repetition_issue
P04_103,20,22,repetition_issue
P04_103,21,23,repetition_issue
P04_103,22,24,repetition_issue
P04_103,23,25,repetition_issue
P04_103,24,26,repetition_issue
P04_103,25,27,repetition_issue
P04_103,26,28,repetition_issue
P04_103,27,29,repetition_issue
P04_103,28,30,repetition_issue
P04_103,29,31,repetition_issue
P04_103,30,32,repetition_issue
P04_103,31,33,repetition_issue
P04_103,32,34,repetition_issue
P04_103,33,35,repetition_issue
P04_103,34,36,repetition_issue
P04_103,35,37,repetition_issue
P04_103,36,38,repetition_issue
P04_104,97,99,repetition_issue
P04_104,211,213,repetition_issue
P04_104,212,214,repetition_issue
P04_104,213,215,repetition_issue
P04_111,5,7,repetition_issue
P04_111,6,8,repetition_issue
P04_111,7,9,repetition_issue
P04_111,11,13,repetition_issue
P04_111,21,23,repetition_issue
P04_111,22,24,repetition_issue
P04_111,23,25,repetition_issue
P04_111,24,26,repetition_issue
P04_111,25,27,repetition_issue
P04_120,81,83,repetition_issue
P04_120,82,84,repetition_issue
P04_120,83,85,repetition_issue
P04_120,84,86,repetition_issue
P04_120,85,87,repetition_issue
P04_120,86,88,repetition_issue
P04_120,87,89,repetition_issue
P04_121,451,453,repetition_issue
P04_121,465,467,repetition_issue
P04_121,466,468,repetition_issue
P04_121,470,472,repetition_issue
P04_121,471,473,repetition_issue
P04_121,472,474,repetition_issue
P04_121,473,475,repetition_issue
P04_121,474,476,repetition_issue
P06_03,117,119,repetition_issue
P06_03,118,120,repetition_issue
P06_03,119,121,repetition_issue
P06_05,9,11,repetition_issue
P06_05,10,12,repetition_issue
P06_07,40,42,repetition_issue
P06_07,41,43,repetition_issue
P06_07,89,91,repetition_issue
P07_04,68,70,repetition_issue
P07_04,69,71,repetition_issue
P07_04,70,72,repetition_issue
P07_04,71,73,repetition_issue
P07_10,197,199,repetition_issue
P07_10,198,200,repetition_issue
P07_10,199,201,repetition_issue
P07_10,200,202,repetition_issue
P07_10,220,222,repetition_issue
P07_10,221,223,repetition_issue
P07_10,222,224,repetition_issue
P07_10,226,228,repetition_issue
P07_10,227,229,repetition_issue
P07_10,228,230,repetition_issue
P07_10,229,231,repetition_issue
P07_10,234,236,repetition_issue
P07_10,235,237,repetition_issue
P07_10,236,238,repetition_issue
P07_10,237,239,repetition_issue
P07_10,238,240,repetition_issue
P07_10,239,241,repetition_issue
P10_02,72,74,repetition_issue
P10_02,73,75,repetition_issue
P10_04,22,24,repetition_issue
P10_04,23,25,repetition_issue
P10_04,24,26,repetition_issue
P10_04,25,27,repetition_issue
P10_04,26,28,repetition_issue
P10_04,27,29,repetition_issue
P10_04,28,30,repetition_issue
P10_04,29,31,repetition_issue
P10_04,167,169,repetition_issue
P10_04,168,170,repetition_issue
P10_04,169,171,repetition_issue
P10_04,309,311,repetition_issue
P10_04,310,312,repetition_issue
P10_04,311,313,repetition_issue
P10_04,312,314,repetition_issue
P10_04,313,315,repetition_issue
P10_04,314,316,repetition_issue
P11_04,20,22,repetition_issue
P11_04,21,23,repetition_issue
P11_04,22,24,repetition_issue
P11_04,23,25,repetition_issue
P11_04,24,26,repetition_issue
P11_04,25,27,repetition_issue
P11_04,26,28,repetition_issue
P11_04,27,29,repetition_issue
P11_04,30,32,repetition_issue
P11_04,40,42,repetition_issue
P11_04,41,43,repetition_issue
P11_04,42,44,repetition_issue
P11_04,43,45,repetition_issue
P11_04,44,46,repetition_issue
P11_04,45,47,repetition_issue
P11_04,46,48,repetition_issue
P11_04,47,49,repetition_issue
P11_04,50,52,repetition_issue
P11_04,51,53,repetition_issue
P11_04,55,57,repetition_issue
P11_04,56,58,repetition_issue
P11_04,57,59,repetition_issue
P11_04,58,60,repetition_issue
P11_04,59,61,repetition_issue
P11_04,60,62,repetition_issue
P11_04,61,63,repetition_issue
P11_04,62,64,repetition_issue
P11_04,66,68,repetition_issue
P11_04,67,69,repetition_issue
P11_04,68,70,repetition_issue
P11_04,69,71,repetition_issue
P11_04,70,72,repetition_issue
P11_04,71,73,repetition_issue
P11_04,72,74,repetition_issue
P11_04,73,75,repetition_issue
P11_04,74,76,repetition_issue
P11_04,75,77,repetition_issue
P11_04,76,78,repetition_issue
P11_04,77,79,repetition_issue
P11_04,82,84,repetition_issue
P11_04,83,85,repetition_issue
P11_04,84,86,repetition_issue
P11_04,85,87,repetition_issue
P11_04,86,88,repetition_issue
P11_04,87,89,repetition_issue
P11_04,88,90,repetition_issue
P11_04,89,91,repetition_issue
P11_05,43,45,repetition_issue
P11_05,44,46,repetition_issue
P11_05,48,50,repetition_issue
P11_05,49,51,repetition_issue
P11_05,53,55,repetition_issue
P11_05,54,56,repetition_issue
P11_05,61,63,repetition_issue
P11_05,100,102,repetition_issue
P11_05,101,103,repetition_issue
P11_05,215,217,repetition_issue
P11_05,216,218,repetition_issue
P11_05,217,219,repetition_issue
P11_05,218,220,repetition_issue
P11_05,219,221,repetition_issue
P11_109,99,101,repetition_issue
P12_101,118,120,repetition_issue
P12_101,119,121,repetition_issue
P12_101,120,122,repetition_issue
P12_101,121,123,repetition_issue
P12_101,122,124,repetition_issue
P12_101,123,125,repetition_issue
P19_04,5,7,repetition_issue
P19_04,6,8,repetition_issue
P19_04,7,9,repetition_issue
P19_04,8,10,repetition_issue
P19_04,9,11,repetition_issue
P19_04,10,12,repetition_issue
P20_01,176,178,repetition_issue
P20_01,177,179,repetition_issue
P20_01,188,190,repetition_issue
P20_01,192,194,repetition_issue
P20_01,193,195,repetition_issue
P20_01,197,199,repetition_issue
P20_01,198,200,repetition_issue
P20_01,199,201,repetition_issue
P20_01,200,202,repetition_issue
P20_01,213,215,repetition_issue
P20_01,214,216,repetition_issue
P20_01,233,235,repetition_issue
P20_01,238,240,repetition_issue
P20_01,239,241,repetition_issue
P20_01,269,271,repetition_issue
P20_01,273,275,repetition_issue
P20_01,274,276,repetition_issue
P20_01,275,277,repetition_issue
P20_01,280,282,repetition_issue
P20_01,281,283,repetition_issue
P20_01,282,284,repetition_issue
P20_01,283,285,repetition_issue
P20_01,284,286,repetition_issue
P20_01,295,297,repetition_issue
P20_01,296,298,repetition_issue
P20_01,297,299,repetition_issue
P20_04,58,60,repetition_issue
P20_04,59,61,repetition_issue
P20_04,60,62,repetition_issue
P20_04,61,63,repetition_issue
P20_04,62,64,repetition_issue
P20_04,63,65,repetition_issue
P20_04,64,66,repetition_issue
P20_04,65,67,repetition_issue
P20_04,66,68,repetition_issue
P20_04,67,69,repetition_issue
