pattern,count
"('turn-on(tap)', 'rinse(hand)', 'turn-off(tap)')",93
"('pick-up(cloth)', 'dry(hand)', 'put-down(cloth)')",89
"('turn-on(tap)', 'wash(hand)', 'turn-off(tap)')",86
"('rinse(hand)', 'turn-off(tap)', 'shake(hand)')",74
"('shake(hand)', 'pick-up(cloth)', 'dry(hand)')",57
"('turn-off(tap)', 'shake(hand)', 'pick-up(cloth)')",51
"('turn-on(tap)', 'rinse(sponge)', 'turn-off(tap)')",41
"('open(drawer)', 'close(drawer)', 'open(drawer)')",39
"('turn-on(tap)', 'rinse(plate)', 'turn-off(tap)')",34
"('turn-on(tap)', 'rinse(cloth)', 'turn-off(tap)')",33
"('cut(potato)', 'cut(potato)', 'cut(potato)')",31
"('put-down(meat)', 'pick-up(meat)', 'put-down(meat)')",30
"('pick-up(meat)', 'put-down(meat)', 'pick-up(meat)')",29
"('place-on(meat)', 'get(meat)', 'place-on(meat)')",28
"('sharpen(knife)', 'sharpen(knife)', 'sharpen(knife)')",28
"('press(button)', 'press(button)', 'press(button)')",27
"('open(drawer)', 'pick-up(spoon)', 'close(drawer)')",27
"('get(meat)', 'place-on(meat)', 'get(meat)')",26
"('press-on(spatula)', 'press-on(spatula)', 'press-on(spatula)')",26
"('put-down(glass)', 'pick-up(glass)', 'put-down(glass)')",25
"('chop(onion)', 'chop(onion)', 'chop(onion)')",25
"('pick-up(glass)', 'rinse(glass)', 'put-down(glass)')",24
"('turn-off(tap)', 'shake(hand)', 'dry(hand)')",24
"('pick-up(glass)', 'put-down(glass)', 'pick-up(glass)')",24
"('skin(carrot)', 'skin(carrot)', 'skin(carrot)')",23
"('stir(food)', 'stir(food)', 'stir(food)')",23
"('flip(aubergine)', 'flip(aubergine)', 'flip(aubergine)')",22
"('cut(onion)', 'cut(onion)', 'cut(onion)')",22
"('peel(potato)', 'peel(potato)', 'peel(potato)')",22
"('wash(hand)', 'turn-off(tap)', 'dry(hand)')",21
"('turn-off(tap)', 'pick-up(cloth)', 'dry(hand)')",20
"('put-down(plate)', 'pick-up(plate)', 'put-down(plate)')",20
"('peel(peach)', 'peel(peach)', 'peel(peach)')",20
"('rinse(hand)', 'turn-off(tap)', 'dry(hand)')",20
"('pick-up(knife)', 'lather(knife)', 'put-down(knife)')",20
"('fold(cheese)', 'stretch(cheese)', 'fold(cheese)')",19
"('pick-up(plate)', 'drain(plate)', 'put-down(plate)')",19
"('open(cupboard)', 'pick-up(plate)', 'put-down(plate)')",19
"('stretch(dough)', 'fold(dough)', 'stretch(dough)')",19
"('fold(dough)', 'stretch(dough)', 'fold(dough)')",19
"('turn-on(tap)', 'pour-into(water)', 'turn-off(tap)')",18
"('turn-on(tap)', 'rinse(board:chopping)', 'turn-off(tap)')",18
"('put-down(plate)', 'rinse(plate)', 'put-down(plate)')",17
"('pick-up(soap)', 'pour(liquid:washing:up)', 'put-down(liquid:washing:up)')",17
"('rinse(plate)', 'put-down(plate)', 'rinse(plate)')",17
"('stretch(cheese)', 'fold(cheese)', 'stretch(cheese)')",17
"('turn-on(tap)', 'rinse(knife)', 'turn-off(tap)')",17
"('pick-up(aubergine)', 'put-down(aubergine)', 'pick-up(aubergine)')",17
"('put-down(aubergine)', 'pick-up(aubergine)', 'put-down(aubergine)')",16
"('pick-up(spatula)', 'stir(food)', 'tap(spatula)')",16
"('pick-up(spoon)', 'lather(spoon)', 'put-down(spoon)')",16
"('clean(hob)', 'turn-on(tap)', 'rinse(sponge)')",16
"('pick-up(plate)', 'put-down(plate)', 'pick-up(plate)')",16
"('stir(food)', 'tap(spatula)', 'put-down(spatula)')",15
"('turn-on(tap)', 'rinse(glass)', 'turn-off(tap)')",15
"('peel(skin:garlic)', 'discard(skin:garlic)', 'peel(skin:garlic)')",15
"('lather(knife)', 'rinse(knife)', 'put-down(knife)')",15
"('drain(plate)', 'put-down(plate)', 'pick-up(plate)')",15
"('discard(skin:garlic)', 'peel(skin:garlic)', 'discard(skin:garlic)')",15
"('chop(garlic)', 'chop(garlic)', 'chop(garlic)')",15
"('put-down(plate)', 'pick-up(plate)', 'drain(plate)')",15
"('dry(hand)', 'put-down(cloth)', 'pick-up(spatula)')",14
"('rinse(sponge)', 'turn-off(tap)', 'pick-up(soap)')",14
"('turn-off(tap)', 'pick-up(soap)', 'pour(liquid:washing:up)')",14
"('pick-up(pasta)', 'pour(pasta)', 'pick-up(pasta)')",14
"('pour(pasta)', 'pick-up(pasta)', 'pour(pasta)')",14
"('take(fork)', 'lather(fork)', 'put-down(fork)')",14
"('rinse(glass)', 'put-down(glass)', 'pick-up(glass)')",14
"('close(drawer)', 'open(drawer)', 'close(drawer)')",14
"('rinse(glass)', 'put-down(glass)', 'rinse(glass)')",14
"('rinse(plate)', 'put-down(plate)', 'pick-up(plate)')",14
"('pick-up(plate)', 'rinse(plate)', 'put-down(plate)')",14
"('break-up(rice)', 'break-up(rice)', 'break-up(rice)')",14
"('turn-on(tap)', 'rinse(pan)', 'turn-off(tap)')",14
"('wipe(surface)', 'wipe(surface)', 'wipe(surface)')",14
"('pick-up(sponge)', 'turn-on(tap)', 'rinse(sponge)')",13
"('pick-up(glass)', 'wash(glass)', 'put-down(glass)')",13
"('take-off(skin)', 'take-off(skin)', 'take-off(skin)')",13
"('wash(hand)', 'turn-off(tap)', 'shake(hand)')",13
"('cut(tomato)', 'cut(tomato)', 'cut(tomato)')",13
"('put-down(glass)', 'rinse(glass)', 'put-down(glass)')",13
"('pick-up(glass)', 'drain(glass)', 'put-down(glass)')",13
"('turn-on(tap)', 'rinse(bowl)', 'turn-off(tap)')",13
"('turn-on(tap)', 'rinse(mug)', 'turn-off(tap)')",13
"('oil(hand)', 'knead(dough)', 'shape(ball:dough)')",13
"('slice(onion)', 'slice(onion)', 'slice(onion)')",13
"('put-down(sponge)', 'turn-on(tap)', 'rinse(hand)')",12
"('rinse(hand)', 'pick-up(cloth)', 'rinse(cloth)')",12
"('pick-up(bowl)', 'rinse(bowl)', 'put-down(bowl)')",12
"('clean(top:counter)', 'turn-on(tap)', 'rinse(cloth)')",12
"('rinse(hand)', 'turn-off(tap)', 'pick-up(cloth)')",12
"('take(knife)', 'wash(knife)', 'put-down(knife)')",11
"('rinse(cloth)', 'turn-off(tap)', 'wring(cloth)')",11
"('wash(hand)', 'rinse(hand)', 'turn-off(tap)')",11
"('pick-up(mushroom)', 'wash(mushroom)', 'put-down(mushroom)')",11
"('put-down(plate)', 'pick-up(plate)', 'rinse(plate)')",11
"('pick-up(plate)', 'pick-up(plate)', 'put-down(plate)')",11
"('knead(dough)', 'shape(ball:dough)', 'place-on(ball:dough)')",11
"('pick-up(plate)', 'lather(plate)', 'put-down(plate)')",11
"('put-down(glass)', 'pick-up(glass)', 'rinse(glass)')",11
"('pick-up(piece:tofu)', 'put-in(piece:tofu)', 'move-with(piece:tofu)')",11
"('pick-up(spoon)', 'stir(pasta)', 'put-down(spoon)')",11
"('pick-up(cloth)', 'turn-on(tap)', 'rinse(cloth)')",11
"('open(cupboard)', 'pick-up(plate)', 'close(cupboard)')",11
"('debone(thigh:chicken)', 'debone(thigh:chicken)', 'debone(thigh:chicken)')",11
"('open(drawer)', 'take(knife)', 'close(drawer)')",11
"('sweep(floor)', 'sweep(floor)', 'sweep(floor)')",11
"('put-down(mushroom)', 'pick-up(mushroom)', 'wash(mushroom)')",11
"('open(cupboard)', 'pick-up(glass)', 'close(cupboard)')",11
"('pick-up(slice:potato)', 'put-down(slice:potato)', 'pick-up(slice:potato)')",11
"('scoop(food)', 'put-in(food)', 'scoop(food)')",11
"('put-down(slice:potato)', 'pick-up(slice:potato)', 'put-down(slice:potato)')",11
"('put-in(food)', 'scoop(food)', 'put-in(food)')",11
"('open(drawer)', 'pick-up(knife)', 'close(drawer)')",11
"('wash(mushroom)', 'put-down(mushroom)', 'pick-up(mushroom)')",11
"('put-in(pie)', 'pick-up(pie)', 'put-in(pie)')",10
"('put(clothes)', 'take(clothes)', 'put(clothes)')",10
"('take(clothes)', 'put(clothes)', 'take(clothes)')",10
"('wash(plate)', 'turn-on(tap)', 'rinse(plate)')",10
"('sharpen(tap)', 'sharpen(tap)', 'sharpen(tap)')",10
"('rinse(plate)', 'turn-off(tap)', 'put(plate)')",10
"('rinse(sponge)', 'turn-off(tap)', 'clean(hob)')",10
"('turn-on(tap)', 'rinse(spoon)', 'turn-off(tap)')",10
"('turn-off(tap)', 'close(kettle)', 'put-down(kettle)')",10
"('pick-up(cloth)', 'rinse(cloth)', 'turn-off(tap)')",10
"('stir(meat)', 'stir(meat)', 'stir(meat)')",10
"('put-on(nut:pine)', 'put-on(nut:pine)', 'put-on(nut:pine)')",10
"('rinse(sponge)', 'put-down(sponge)', 'rinse(hand)')",10
"('pick-up(plate)', 'put-down(plate)', 'put-down(plate)')",10
"('rinse(cloth)', 'turn-off(tap)', 'wash(sink)')",10
"('pick-up(spoon)', 'stir(sauce)', 'put-down(spoon)')",10
"('turn-off(tap)', 'clean(hob)', 'turn-on(tap)')",10
"('cut(courgette)', 'cut(courgette)', 'cut(courgette)')",10
"('get(oil)', 'oil(hand)', 'knead(dough)')",10
"('pour(water)', 'pour(water)', 'pour(water)')",10
"('dry(hand)', 'put-down(cloth)', 'open(drawer)')",10
"('open(cupboard)', 'take(plate)', 'close(cupboard)')",10
"('knead(dough)', 'knead(dough)', 'knead(dough)')",10
"('pick-up(glass)', 'lather(glass)', 'put-down(glass)')",10
"('pick-up(liquid:washing)', 'pour-onto(liquid:washing)', 'put-down(liquid:washing)')",10
"('pick-up(plate)', 'close(cupboard)', 'put-down(plate)')",10
"('turn-on(tap)', 'fill(kettle)', 'turn-off(tap)')",9
"('pick-up(sponge)', 'rinse(sponge)', 'turn-off(tap)')",9
"('sharpen(whetstone)', 'sharpen(whetstone)', 'sharpen(whetstone)')",9
"('open(cupboard)', 'close(cupboard)', 'open(cupboard)')",9
"('wash(glass)', 'put-down(glass)', 'pick-up(glass)')",9
"('peel(onion)', 'peel(onion)', 'peel(onion)')",9
"('open(drawer)', 'take(spoon)', 'close(drawer)')",9
"('flip(sausage)', 'flip(sausage)', 'flip(sausage)')",9
"('shake(hand)', 'dry(hand)', 'put-down(cloth)')",9
"('put-down(olive)', 'put-down(olive)', 'put-down(olive)')",9
"('pick-up(bowl)', 'put-down(bowl)', 'pick-up(bowl)')",9
"('pick-up(pie)', 'put-in(pie)', 'pick-up(pie)')",9
"('flip-over(piece:tofu)', 'flip-over(piece:tofu)', 'flip-over(piece:tofu)')",9
"('take(spatula)', 'stir(food)', 'stir(food)')",9
"('flip(aubergine)', 'put-down(fork)', 'take(fork)')",9
"('slice(tomato)', 'slice(tomato)', 'slice(tomato)')",9
"('pour(pasta)', 'pour(pasta)', 'pour(pasta)')",9
"('shape(ball:dough)', 'place-on(ball:dough)', 'squeeze(dough)')",9
"('pick-up(knife)', 'rinse(knife)', 'put-down(knife)')",9
"('turn-on(tap)', 'pick-up(sponge)', 'rinse(sponge)')",9
"('rinse(knife)', 'put-down(knife)', 'take(fork)')",9
"('pick-up(spoon)', 'stir(onion)', 'put-down(spoon)')",9
"('take(spoon)', 'mix(curry)', 'put(spoon)')",9
"('put-down(mushroom)', 'slice(mushroom)', 'pick-up(mushroom)')",8
"('pick-up(mushroom)', 'put-down(mushroom)', 'slice(mushroom)')",8
