video_id,start_idx,end_idx,action_a,action_b,pattern,duration
P01_01,20,22,put-down(knife),close(drawer),put-down(knife) ↔ close(drawer),2.720000000000006
P01_01,37,39,cut(courgette),turn-on(hob),cut(courgette) ↔ turn-on(hob),22.11
P01_01,58,60,wash(celery),turn-on(tap),wash(celery) ↔ turn-on(tap),2.3100000000000023
P01_01,171,173,stir(vegetable),adjust(hob),stir(vegetable) ↔ adjust(hob),4.460000000000036
P01_01,220,222,stir(vegetable),adjust(hob),stir(vegetable) ↔ adjust(hob),9.659999999999968
P01_01,241,243,stir(vegetable),put-down(spatula),stir(vegetable) ↔ put-down(spatula),64.06999999999994
P01_01,295,297,stir(rice),turn-off(hob),stir(rice) ↔ turn-off(hob),38.01999999999998
P01_01,306,308,pour-into(rice),scoop(rice),pour-into(rice) ↔ scoop(rice),3.560000000000173
P01_01,307,309,scoop(rice),pour-into(rice),scoop(rice) ↔ pour-into(rice),3.9500000000000455
P01_01,317,319,scoop(rice),pour-into(rice),scoop(rice) ↔ pour-into(rice),5.569999999999936
P01_02,74,76,wash(pan),adjust(top),wash(pan) ↔ adjust(top),3.9599999999999795
P01_02,76,78,wash(pan),rinse(pan),wash(pan) ↔ rinse(pan),12.629999999999995
P01_02,77,79,rinse(pan),wash(pan),rinse(pan) ↔ wash(pan),16.389999999999986
P01_02,98,100,squeeze(sponge),take(rag),squeeze(sponge) ↔ take(rag),6.360000000000014
P01_03,6,8,take(container),put-back(container),take(container) ↔ put-back(container),3.6799999999999997
P01_05,42,44,put-down(cutlery),open(drawer),put-down(cutlery) ↔ open(drawer),6.0
P01_05,175,177,put-onto(sausage),adjust(hob),put-onto(sausage) ↔ adjust(hob),11.149999999999977
P01_05,180,182,hang(clothes),take(clothes),hang(clothes) ↔ take(clothes),11.589999999999918
P01_05,199,201,open(drawer),close(drawer),open(drawer) ↔ close(drawer),1.400000000000091
P01_05,219,221,adjust(hob),take(tong),adjust(hob) ↔ take(tong),5.2999999999999545
P01_05,243,245,wash(pan),put-down(pan:frying),wash(pan) ↔ put-down(pan:frying),6.360000000000127
P01_06,49,51,wash(pan),put-down(pan),wash(pan) ↔ put-down(pan),3.859999999999985
P01_06,101,103,wipe(sink),squeeze(cloth),wipe(sink) ↔ squeeze(cloth),3.8500000000000227
P01_06,105,107,turn-off(tap),rinse(cloth),turn-off(tap) ↔ rinse(cloth),3.5500000000000114
P01_09,32,34,put-down(bowl),close(cupboard),put-down(bowl) ↔ close(cupboard),4.989999999999995
P01_09,33,35,close(cupboard),put-down(bowl),close(cupboard) ↔ put-down(bowl),4.590000000000003
P01_09,39,41,check(water),wait(water),check(water) ↔ wait(water),2.5799999999999983
P01_09,117,119,knead(dough),sprinkle(flour),knead(dough) ↔ sprinkle(flour),15.110000000000014
P01_09,146,148,wash(counter),turn-off(tap),wash(counter) ↔ turn-off(tap),14.180000000000064
P01_09,227,229,cut(onion),take(knife),cut(onion) ↔ take(knife),10.179999999999836
P01_09,236,238,take(container),open(container),take(container) ↔ open(container),4.4500000000000455
P01_09,237,239,open(container),take(container),open(container) ↔ take(container),5.019999999999982
P01_09,270,272,slice(onion),peel(onion),slice(onion) ↔ peel(onion),14.810000000000173
P01_09,281,283,open(box:mushroom),take(knife),open(box:mushroom) ↔ take(knife),6.420000000000073
P01_09,298,300,take(mushroom),wash(mushroom),take(mushroom) ↔ wash(mushroom),5.620000000000118
P01_09,332,334,throw-into(bin),open(bin),throw-into(bin) ↔ open(bin),2.3899999999998727
P01_09,352,354,dry(hand),move(board:cutting),dry(hand) ↔ move(board:cutting),5.440000000000055
P01_09,364,366,take(olive),open(olive),take(olive) ↔ open(olive),6.669999999999845
P01_09,366,368,take(olive),eat(olive),take(olive) ↔ eat(olive),6.230000000000018
P01_09,437,439,take(paper:baking),take(scissors),take(paper:baking) ↔ take(scissors),8.230000000000018
P01_09,474,476,put-onto(aubergine),take(aubergine),put-onto(aubergine) ↔ take(aubergine),6.490000000000009
P01_09,475,477,take(aubergine),put-onto(aubergine),take(aubergine) ↔ put-onto(aubergine),6.5499999999999545
P01_09,476,478,put-onto(aubergine),take(aubergine),put-onto(aubergine) ↔ take(aubergine),5.850000000000136
P01_09,477,479,take(aubergine),put-onto(aubergine),take(aubergine) ↔ put-onto(aubergine),6.019999999999982
P01_09,478,480,put-onto(aubergine),take(aubergine),put-onto(aubergine) ↔ take(aubergine),5.929999999999836
P01_09,479,481,take(aubergine),put-onto(aubergine),take(aubergine) ↔ put-onto(aubergine),6.670000000000073
