pattern,count,routine_name
"('turn-on(tap)', 'rinse(hand)', 'turn-off(tap)')",93,washing
"('pick-up(cloth)', 'dry(hand)', 'put-down(cloth)')",89,drying
"('turn-on(tap)', 'wash(hand)', 'turn-off(tap)')",86,washing
"('rinse(hand)', 'turn-off(tap)', 'shake(hand)')",74,washing
"('shake(hand)', 'pick-up(cloth)', 'dry(hand)')",57,drying
"('turn-off(tap)', 'shake(hand)', 'pick-up(cloth)')",51,drying
"('turn-on(tap)', 'rinse(sponge)', 'turn-off(tap)')",41,washing
"('open(drawer)', 'close(drawer)', 'open(drawer)')",39,container_usage
"('turn-on(tap)', 'rinse(plate)', 'turn-off(tap)')",34,washing
"('turn-on(tap)', 'rinse(cloth)', 'turn-off(tap)')",33,washing
"('cut(potato)', 'cut(potato)', 'cut(potato)')",31,cutting
"('put-down(meat)', 'pick-up(meat)', 'put-down(meat)')",30,object_transfer
"('pick-up(meat)', 'put-down(meat)', 'pick-up(meat)')",29,object_transfer
"('place-on(meat)', 'get(meat)', 'place-on(meat)')",28,object_transfer
"('sharpen(knife)', 'sharpen(knife)', 'sharpen(knife)')",28,operation
"('press(button)', 'press(button)', 'press(button)')",27,operation
"('open(drawer)', 'pick-up(spoon)', 'close(drawer)')",27,container_usage
"('get(meat)', 'place-on(meat)', 'get(meat)')",26,object_transfer
"('press-on(spatula)', 'press-on(spatula)', 'press-on(spatula)')",26,operation
"('put-down(glass)', 'pick-up(glass)', 'put-down(glass)')",25,object_transfer
"('chop(onion)', 'chop(onion)', 'chop(onion)')",25,chopping
"('pick-up(glass)', 'rinse(glass)', 'put-down(glass)')",24,washing
"('turn-off(tap)', 'shake(hand)', 'dry(hand)')",24,drying
"('pick-up(glass)', 'put-down(glass)', 'pick-up(glass)')",24,object_transfer
"('skin(carrot)', 'skin(carrot)', 'skin(carrot)')",23,peeling
"('stir(food)', 'stir(food)', 'stir(food)')",23,stirring
"('flip(aubergine)', 'flip(aubergine)', 'flip(aubergine)')",22,flipping
"('cut(onion)', 'cut(onion)', 'cut(onion)')",22,cutting
"('peel(potato)', 'peel(potato)', 'peel(potato)')",22,peeling
"('wash(hand)', 'turn-off(tap)', 'dry(hand)')",21,washing
"('turn-off(tap)', 'pick-up(cloth)', 'dry(hand)')",20,drying
"('put-down(plate)', 'pick-up(plate)', 'put-down(plate)')",20,object_transfer
"('peel(peach)', 'peel(peach)', 'peel(peach)')",20,peeling
"('rinse(hand)', 'turn-off(tap)', 'dry(hand)')",20,washing
"('pick-up(knife)', 'lather(knife)', 'put-down(knife)')",20,object_transfer
"('fold(cheese)', 'stretch(cheese)', 'fold(cheese)')",19,folding_shaping
"('pick-up(plate)', 'drain(plate)', 'put-down(plate)')",19,object_transfer
"('open(cupboard)', 'pick-up(plate)', 'put-down(plate)')",19,object_transfer
"('stretch(dough)', 'fold(dough)', 'stretch(dough)')",19,folding_shaping
"('fold(dough)', 'stretch(dough)', 'fold(dough)')",19,folding_shaping
"('turn-on(tap)', 'pour-into(water)', 'turn-off(tap)')",18,pouring
"('turn-on(tap)', 'rinse(board:chopping)', 'turn-off(tap)')",18,washing
"('put-down(plate)', 'rinse(plate)', 'put-down(plate)')",17,washing
"('pick-up(soap)', 'pour(liquid:washing:up)', 'put-down(liquid:washing:up)')",17,washing
"('rinse(plate)', 'put-down(plate)', 'rinse(plate)')",17,washing
"('stretch(cheese)', 'fold(cheese)', 'stretch(cheese)')",17,folding_shaping
"('turn-on(tap)', 'rinse(knife)', 'turn-off(tap)')",17,washing
"('pick-up(aubergine)', 'put-down(aubergine)', 'pick-up(aubergine)')",17,object_transfer
"('put-down(aubergine)', 'pick-up(aubergine)', 'put-down(aubergine)')",16,object_transfer
"('pick-up(spatula)', 'stir(food)', 'tap(spatula)')",16,stirring
"('pick-up(spoon)', 'lather(spoon)', 'put-down(spoon)')",16,object_transfer
"('clean(hob)', 'turn-on(tap)', 'rinse(sponge)')",16,washing
"('pick-up(plate)', 'put-down(plate)', 'pick-up(plate)')",16,object_transfer
"('stir(food)', 'tap(spatula)', 'put-down(spatula)')",15,stirring
"('turn-on(tap)', 'rinse(glass)', 'turn-off(tap)')",15,washing
"('peel(skin:garlic)', 'discard(skin:garlic)', 'peel(skin:garlic)')",15,peeling
"('lather(knife)', 'rinse(knife)', 'put-down(knife)')",15,washing
"('drain(plate)', 'put-down(plate)', 'pick-up(plate)')",15,object_transfer
"('discard(skin:garlic)', 'peel(skin:garlic)', 'discard(skin:garlic)')",15,peeling
"('chop(garlic)', 'chop(garlic)', 'chop(garlic)')",15,chopping
"('put-down(plate)', 'pick-up(plate)', 'drain(plate)')",15,object_transfer
"('dry(hand)', 'put-down(cloth)', 'pick-up(spatula)')",14,drying
"('rinse(sponge)', 'turn-off(tap)', 'pick-up(soap)')",14,washing
"('turn-off(tap)', 'pick-up(soap)', 'pour(liquid:washing:up)')",14,washing
"('pick-up(pasta)', 'pour(pasta)', 'pick-up(pasta)')",14,pouring
"('pour(pasta)', 'pick-up(pasta)', 'pour(pasta)')",14,pouring
"('take(fork)', 'lather(fork)', 'put-down(fork)')",14,object_transfer
"('rinse(glass)', 'put-down(glass)', 'pick-up(glass)')",14,washing
"('close(drawer)', 'open(drawer)', 'close(drawer)')",14,container_usage
"('rinse(glass)', 'put-down(glass)', 'rinse(glass)')",14,washing
"('rinse(plate)', 'put-down(plate)', 'pick-up(plate)')",14,washing
"('pick-up(plate)', 'rinse(plate)', 'put-down(plate)')",14,washing
"('break-up(rice)', 'break-up(rice)', 'break-up(rice)')",14,separating
"('turn-on(tap)', 'rinse(pan)', 'turn-off(tap)')",14,washing
"('wipe(surface)', 'wipe(surface)', 'wipe(surface)')",14,cleaning
"('pick-up(sponge)', 'turn-on(tap)', 'rinse(sponge)')",13,washing
"('pick-up(glass)', 'wash(glass)', 'put-down(glass)')",13,washing
"('take-off(skin)', 'take-off(skin)', 'take-off(skin)')",13,peeling
"('wash(hand)', 'turn-off(tap)', 'shake(hand)')",13,washing
"('cut(tomato)', 'cut(tomato)', 'cut(tomato)')",13,cutting
"('put-down(glass)', 'rinse(glass)', 'put-down(glass)')",13,washing
"('pick-up(glass)', 'drain(glass)', 'put-down(glass)')",13,object_transfer
"('turn-on(tap)', 'rinse(bowl)', 'turn-off(tap)')",13,washing
"('turn-on(tap)', 'rinse(mug)', 'turn-off(tap)')",13,washing
"('oil(hand)', 'knead(dough)', 'shape(ball:dough)')",13,folding_shaping
"('slice(onion)', 'slice(onion)', 'slice(onion)')",13,cutting
"('put-down(sponge)', 'turn-on(tap)', 'rinse(hand)')",12,washing
